Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
M21.Cvi.1R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.2R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.3R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.6R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.7R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.10R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.11R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.12R.yng.M1_27b,M21,Cvi,R,yng,M1_27b
M21.Cvi.1E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.3E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.4E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.6E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.7E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.8E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.10E.old.M2_42a,M21,Cvi,E,old,M2_42a
M21.Cvi.2E.old.M2_52a,M21,Cvi,E,old,M2_52a
M21.Ler.1E.old.M2_42a,M21,Ler,E,old,M2_42a
M21.Ler.5E.old.M2_42a,M21,Ler,E,old,M2_42a
M21.Ler.6E.old.M2_42a,M21,Ler,E,old,M2_42a
M21.Ler.9E.old.M2_42a,M21,Ler,E,old,M2_42a
M21.Ler.10E.old.M2_42a,M21,Ler,E,old,M2_42a
M21.Ler.11E.old.M2_42a,M21,Ler,E,old,M2_42a
M21.Mt.1E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.2E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.3E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.4E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.5E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.6E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.7E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.8E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Mt.10E.old.M2_42b,M21,Mt,E,old,M2_42b
M21.Oy.1E.old.M2_42b,M21,Oy,E,old,M2_42b
M21.Oy.2E.old.M2_42b,M21,Oy,E,old,M2_42b
M21.Oy.6E.old.M2_42b,M21,Oy,E,old,M2_42b
M21.Oy.7E.old.M2_42b,M21,Oy,E,old,M2_42b
M21.Oy.9E.old.M2_42b,M21,Oy,E,old,M2_42b
M21.Oy.3E.old.M2_52a,M21,Oy,E,old,M2_52a
M21.Sha.2E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.4E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.5E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.6E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.8E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.9E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.10E.old.M2_42b,M21,Sha,E,old,M2_42b
M21.Sha.3E.old.M2_52a,M21,Sha,E,old,M2_52a
M21.Sha.7E.old.M2_52a,M21,Sha,E,old,M2_52a
